key;cat1;cat2;amount;time
1;010. 일반, 지방 행정;011. 입법 및 선거관리;875554;2013
2;010. 일반, 지방 행정;012. 국정 운영;526127;2013
3;010. 일반, 지방 행정;013. 지방 행정 및 재정 지원;37684577;2013
4;010. 일반, 지방 행정;014. 재정 및 금융;10160428;2013
5;010. 일반, 지방 행정;015. 정부 자원 관리;638386;2013
6;010. 일반, 지방 행정;016. 일반 행정;1989374;2013
7;020. 공공질서 및 안전;021. 법원 및 헌재;1451141;2013
8;020. 공공질서 및 안전;022. 법무 및 검찰;2774440;2013
9;020. 공공질서 및 안전;023. 경찰;8340378;2013
10;020. 공공질서 및 안전;024. 해경;1076495;2013
11;020. 공공질서 및 안전;025. 재난 관리;1046918;2013
12;030. 외교 및 통일;031. 통일;328002;2013
13;030. 외교 및 통일;032. 외교, 통상;1872300;2013
14;040. 국방;041. 병력 운영;14361488;2013
15;040. 국방;042. 전력 유지;10327419;2013
16;040. 국방;043. 방위력개선;9973998;2013
17;040. 국방;044. 병무행정;174895;2013
18;050 .교육;051. 유아 및 초중등 교육;40463798;2013
19;050 .교육;052. 고등교육;7260268;2013
20;050 .교육;053. 평생 및 직업 교육;809675;2013
21;050 .교육;054. 교육 일반;117205;2013
22;060. 문화 및 관광;061. 문화 예술;1707004;2013
23;060. 문화 및 관광;062. 관광;308946;2013
24;060. 문화 및 관광;063. 체육;142929;2013
25;060. 문화 및 관광;064. 문화재;521171;2013
26;060. 문화 및 관광;065. 문화 및 관광 일반;202756;2013
27;070. 환경;071. 상하수도, 수질;3259305;2013
28;070. 환경;072. 폐기물;330040;2013
29;070. 환경;073. 대기;279457;2013
30;070. 환경;074. 자연;411799;2013
31;070. 환경;075. 해양 환경;185826;2013
32;070. 환경;076. 환경 일반;3986544;2013
33;080. 사회복지;081. 기초생활 보장;8647659;2013
34;080. 사회복지;082. 취약 계층 지원;1510771;2013
35;080. 사회복지;083. 공직연금;1854575;2013
36;080. 사회복지;084. 보육, 가족 및 여성;5068375;2013
37;080. 사회복지;085. 노인 및 청소년;4395328;2013
38;080. 사회복지;086. 노동;1893650;2013
39;080. 사회복지;087. 보훈;4133306;2013
40;080. 사회복지;088. 주택;607380;2013
41;080. 사회복지;089. 사회복지 일반;677728;2013
42;090. 보건;091. 보건 의료;1186028;2013
43;090. 보건;092. 건강보험;5493238;2013
44;090. 보건;093. 식품의약 안전;282252;2013
45;100. 농림해양수산;101. 농업 및 농촌;16905745;2013
46;100. 농림해양수산;102. 임업 및 산촌;2315550;2013
47;100. 농림해양수산;103. 수산 및 어촌;836332;2013
48;100. 농림해양수산;104. 식품업;136204;2013
49;110. 산업, 중소기업 및 에너지;111. 산업금융지원;554958;2013
50;110. 산업, 중소기업 및 에너지;112. 산업기술지원;838409;2013
51;110. 산업, 중소기업 및 에너지;113. 무역 및 투자유치;666080;2013
52;110. 산업, 중소기업 및 에너지;114. 산업진흥 및 고도화;3910395;2013
53;110. 산업, 중소기업 및 에너지;115. 에너지 및 자원 개발;4823117;2013
54;110. 산업, 중소기업 및 에너지;116. 산업 및 중소기업 일반;1339714;2013
55;120. 교통 및 물류;121. 도로;17047446;2013
56;120. 교통 및 물류;122. 철도;9810786;2013
57;120. 교통 및 물류;123. 도시철도;1516965;2013
58;120. 교통 및 물류;124. 허운 및 항만;2047113;2013
59;120. 교통 및 물류;125. 항공 및 공항;383107;2013
60;120. 교통 및 물류;126. 물류 등 기타;1862203;2013
61;130. 통신;131. 방송통신;364440;2013
62;130. 통신;132. 우정;7213954;2013
63;140. 국토 및 지역 개발;141. 수자원;2711252;2013
64;140. 국토 및 지역 개발;142. 지역 및 도시;5081569;2013
65;140. 국토 및 지역 개발;143. 산업단지;798470;2013
66;150. 과학기술;151. 기술개발;2010527;2013
67;150. 과학기술;152. 과학기술 연구지원;3011272;2013
68;150. 과학기술;153. 과학기술 일반;488520;2013
69;160. 예비비;161. 예비비;392000;2013
